PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Year
Adilabad,35,GEN,Andhra Pradesh,Dr. S. Venugopal Chary,Telugu Desam,"10,94,868","7,70,154",70.30%,"1,09,723",14.20%,1999
Adoor,17,SC,Kerala,Kodikunnil Suresh,Indian National Congress,"10,07,138","7,03,008",69.80%,"22,006",3.10%,1999
Agra,73,GEN,Uttar Pradesh [1947 - 1999],Raj Babbar,Samajwadi Party,"12,50,278","6,42,572",51.40%,"1,12,982",17.60%,1999
Ahmedabad,10,GEN,Gujarat,Harin Pathak,Bharatiya Janta Party,"13,20,165","5,27,744",40.00%,"52,968",10.00%,1999
Ahmednagar,39,GEN,Maharashtra,Dilipkumar Mansukhlal Gandhi,Bharatiya Janta Party,"11,47,112","7,75,866",67.60%,"28,457",3.70%,1999
Ajmer,12,GEN,Rajasthan,Rasa Singh Rawat,Bharatiya Janta Party,"11,06,811","5,94,384",53.70%,"87,674",14.80%,1999
Akbarpur,27,SC,Uttar Pradesh [1947 - 1999],Mayawati,Bahujan Samaj Party,"12,30,232","7,49,450",60.90%,"53,386",7.10%,1999
Akola,19,GEN,Maharashtra,Ambedkar Prakash Yashwant,Bharipa Bahujan Mahasangh,"11,45,140","6,98,216",61.00%,"8,716",1.20%,1999
Aligarh,76,GEN,Uttar Pradesh [1947 - 1999],Sheela Gautam,Bharatiya Janta Party,"12,53,174","5,64,618",45.10%,"80,817",14.30%,1999
Alipurduars,2,ST,West Bengal,Joachim Baxla,Revolutionary Socialist Party,"10,39,377","7,77,585",74.80%,"1,53,133",19.70%,1999
Allahabad,56,GEN,Uttar Pradesh [1947 - 1999],Dr. Murli Manohar Joshi,Bharatiya Janta Party,"14,10,588","6,48,551",46.00%,"70,331",10.80%,1999
Alleppey,15,GEN,Kerala,V.M. Sudheeran,Indian National Congress,"10,33,539","7,93,041",76.70%,"35,094",4.40%,1999
Almora,3,GEN,Uttar Pradesh [1947 - 1999],Bachi Singh Rawat,Bharatiya Janta Party,"9,65,628","4,03,872",41.80%,"11,459",2.80%,1999
Alwar,8,GEN,Rajasthan,Dr. Jaswant Singh Yadav,Bharatiya Janta Party,"11,56,697","6,19,741",53.60%,"57,928",9.30%,1999
Amalapuram,9,SC,Andhra Pradesh,Ganti Mohanachandra Balayogi,Telugu Desam,"9,08,257","6,85,230",75.40%,"1,18,879",17.30%,1999
Ambala,1,SC,Haryana,Rattan Lal Kataria,Bharatiya Janta Party,"10,91,846","6,98,854",64.00%,"1,24,478",17.80%,1999
Amethi,25,GEN,Uttar Pradesh [1947 - 1999],Sonia Gandhi,Indian National Congress,"11,10,623","6,38,178",57.50%,"3,00,012",47.00%,1999
Amravati,21,GEN,Maharashtra,Gudhe Anant Mahadeoappa,Shiv Sena,"11,24,886","6,98,233",62.10%,"73,652",10.50%,1999
Amreli,7,GEN,Gujarat,Dileep Sanghani,Bharatiya Janta Party,"8,74,521","4,16,598",47.60%,"36,324",8.70%,1999
Amritsar,2,GEN,Punjab,Raghunandan Lal Bhatia,Indian National Congress,"12,44,316","5,96,536",47.90%,"31,999",5.40%,1999
Amroha,6,GEN,Uttar Pradesh [1947 - 1999],Rashid Alvi,Bahujan Samaj Party,"12,22,239","7,78,257",63.70%,"93,225",12.00%,1999
Anakapalli,6,GEN,Andhra Pradesh,Ganta Srinivasa Rao,Telugu Desam,"10,35,708","7,64,079",73.80%,"58,464",7.70%,1999
Anand,20,GEN,Gujarat,Patel Dipakbhai Chimanbhai (Sathi),Bharatiya Janta Party,"10,47,272","5,60,573",53.50%,"3,661",0.70%,1999
Anantapur,25,GEN,Andhra Pradesh,Kalava Srinivasulu,Telugu Desam,"12,26,314","7,72,471",63.00%,"21,102",2.70%,1999
Anantnag,3,GEN,Jammu & Kashmir,Ali Mohd Naik,Jammu & Kashmir National Conference,"8,04,911","1,15,243",14.30%,"13,492",11.70%,1999
Andaman & Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Bishnu Pada Ray,Bharatiya Janta Party,"2,47,384","1,47,102",59.50%,"13,947",9.50%,1999
Aonla,11,GEN,Uttar Pradesh [1947 - 1999],Kunwar Sarvraj Singh,Samajwadi Party,"10,08,983","5,92,306",58.70%,"17,626",3.00%,1999
Arakkonam,6,GEN,Tamil Nadu,"Jagathrakshakan, S. Dr.",Dravida Munetra Kazhagam,"11,20,043","7,42,796",66.30%,"95,644",12.90%,1999
Arambagh,28,GEN,West Bengal,Anil Basu,Communist Party Of India (MARXIST),"11,43,407","9,44,408",82.60%,"1,16,721",12.40%,1999
Araria,22,SC,Bihar [1947 - 1999],Sukdeo Paswan,Rashtriya Janata Dal,"10,43,070","6,48,975",62.20%,"2,169",0.30%,1999
Arrah,36,GEN,Bihar [1947 - 1999],Ram Prasad Singh,Rashtriya Janata Dal,"11,21,825","6,89,472",61.50%,"92,282",13.40%,1999
Arunachal East,2,GEN,Arunachal Pradesh,Wangcha Rajkumar,Indian National Congress,"2,65,446","1,96,263",73.90%,"41,403",21.10%,1999
Arunachal West,1,GEN,Arunachal Pradesh,Jarbom Gamlin,Indian National Congress,"3,46,126","2,44,968",70.80%,"60,723",24.80%,1999
Asansol,38,GEN,West Bengal,Bikash Chowdhury,Communist Party Of India (MARXIST),"12,65,480","8,29,147",65.50%,"37,864",4.60%,1999
Aska,10,GEN,Orissa,Naveen Patnaik,Biju Janata Dal,"11,75,865","4,85,324",41.30%,"2,56,736",52.90%,1999
Aurangabad,40,GEN,Bihar [1947 - 1999],Shyama Singh,Indian National Congress,"10,91,472","6,83,925",62.70%,"70,416",10.30%,1999
Aurangabad,33,GEN,Maharashtra,Chandrakant Khaire,Shiv Sena,"13,72,209","9,06,465",66.10%,"55,889",6.20%,1999
Autonomous District,3,ST,Assam,Dr Jayanta Rongpi,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),"5,35,818","3,96,516",74.00%,"59,875",15.10%,1999
Azamgarh,45,GEN,Uttar Pradesh [1947 - 1999],Rama Kant Yadav,Samajwadi Party,"12,15,261","6,61,604",54.40%,"26,979",4.10%,1999
Badagara,3,GEN,Kerala,A.K. Premajam,Communist Party Of India (MARXIST),"11,55,934","8,61,933",74.60%,"25,844",3.00%,1999
Bagaha,1,SC,Bihar [1947 - 1999],Mahendra Baitha,Janata Dal (United),"10,28,588","5,79,180",56.30%,"54,751",9.50%,1999
Bagalkot,27,GEN,Karnataka,R.S. Patil,Indian National Congress,"11,27,960","7,83,829",69.50%,"76,434",9.80%,1999
Baghpat,81,GEN,Uttar Pradesh [1947 - 1999],Ajit Singh,Rashtriya Lok Dal,"13,21,056","7,54,521",57.10%,"1,54,419",20.50%,1999
Bahraich,31,GEN,Uttar Pradesh [1947 - 1999],Padamsen Chaudhary,Bharatiya Janta Party,"12,26,445","6,04,614",49.30%,"5,751",1.00%,1999
Balaghat,23,GEN,Madhya Pradesh [1947 - 1999],Prahladsingh Patel,Bharatiya Janta Party,"9,16,432","5,83,843",63.70%,"20,678",3.50%,1999
Balasore,2,GEN,Orissa,Mahameghabahan Aira Kharabela Swain,Bharatiya Janta Party,"12,42,578","7,75,874",62.40%,"1,36,372",17.60%,1999
Balia,19,GEN,Bihar [1947 - 1999],Ramjivan Singh,Janata Dal (United),"9,96,579","5,06,250",50.80%,"12,032",2.40%,1999
Ballia,43,GEN,Uttar Pradesh [1947 - 1999],Chandra Shekhar,Samajwadi Janata Party (RASHTRIYA),"12,87,826","6,19,524",48.10%,"55,675",9.00%,1999
Balrampur,32,GEN,Uttar Pradesh [1947 - 1999],Rizvan Zaheer Alias Rijju Bhaiya,Samajwadi Party,"11,64,886","6,77,854",58.20%,"20,157",3.00%,1999
Balurghat,6,SC,West Bengal,Barman Ranen,Revolutionary Socialist Party,"11,07,468","8,51,433",76.90%,"62,921",7.40%,1999
Banaskantha,14,GEN,Gujarat,Chaudhary Haribhai Parthibhai,Bharatiya Janta Party,"11,06,766","6,03,174",54.50%,"25,976",4.30%,1999
Banda,59,GEN,Uttar Pradesh [1947 - 1999],Ram Sajiwan,Bahujan Samaj Party,"11,58,052","5,89,303",50.90%,"28,631",4.90%,1999
Bangalore North,12,GEN,Karnataka,C.K Jaffar Sharief,Indian National Congress,"18,27,941","10,28,370",56.30%,"1,75,605",17.10%,1999
Bangalore South,13,GEN,Karnataka,Ananth Kumar,Bharatiya Janta Party,"14,87,215","8,05,034",54.10%,"66,054",8.20%,1999
Banka,29,GEN,Bihar [1947 - 1999],Digvijay Singh,Janata Dal (United),"10,64,049","6,35,956",59.80%,"21,408",3.40%,1999
Bankura,35,GEN,West Bengal,Acharia Basudeb,Communist Party Of India (MARXIST),"10,41,325","7,41,303",71.20%,"1,06,998",14.40%,1999
Bansgaon,37,SC,Uttar Pradesh [1947 - 1999],Raj Narayan Pasi,Bharatiya Janta Party,"12,79,729","6,08,738",47.60%,"9,688",1.60%,1999
Banswara,16,ST,Rajasthan,Tara Chand Bhagora,Indian National Congress,"11,82,232","6,57,518",55.60%,"1,16,264",17.70%,1999
Bapatla,16,GEN,Andhra Pradesh,D. Rama Naidu,Telugu Desam,"10,77,815","7,27,105",67.50%,"92,457",12.70%,1999
Bara Banki,29,SC,Uttar Pradesh [1947 - 1999],Ram Sagar,Samajwadi Party,"10,89,797","6,31,347",57.90%,"55,278",8.80%,1999
Baramati,43,GEN,Maharashtra,Pawar Sharadchandra Govindrao,Nationalist Congress Party,"14,62,248","9,23,036",63.10%,"2,98,903",32.40%,1999
Baramulla,1,GEN,Jammu & Kashmir,Abdul Rashid Shaheen,Jammu & Kashmir National Conference,"7,63,639","2,12,180",27.80%,"36,113",17.00%,1999
Barasat,13,GEN,West Bengal,Dr.Ranjit Kumar Panja,All India Trinamool Congress,"13,03,217","10,43,590",80.10%,"96,900",9.30%,1999
Bareilly,12,GEN,Uttar Pradesh [1947 - 1999],Santosh Gangwar,Bharatiya Janta Party,"11,33,481","6,63,548",58.50%,"1,34,700",20.30%,1999
Barh,18,GEN,Bihar [1947 - 1999],Nitish Kumar,Janata Dal (United),"10,81,353","7,59,663",70.30%,"1,335",0.20%,1999
Barmer,23,GEN,Rajasthan,Col. Sonaram Choudhary,Indian National Congress,"14,18,389","8,41,359",59.30%,"32,140",3.80%,1999
Baroda,22,GEN,Gujarat,Jayaben Thakkar,Bharatiya Janta Party,"14,38,964","5,96,790",41.50%,"92,649",15.50%,1999
Barpeta,6,GEN,Assam,A F Golam Osmani,Indian National Congress,"10,23,625","7,67,914",75.00%,"89,362",11.60%,1999
Barrackpore,19,GEN,West Bengal,Tarit Baran Topdar,Communist Party Of India (MARXIST),"10,40,220","8,45,189",81.30%,"40,775",4.80%,1999
Basirhat,14,GEN,West Bengal,Ajoy Chakraborty,Communist Party Of India,"10,71,134","8,66,835",80.90%,"82,587",9.50%,1999
Bastar,20,ST,Madhya Pradesh [1947 - 1999],Baliram Kashyap,Bharatiya Janta Party,"9,54,405","3,75,604",39.40%,"20,737",5.50%,1999
Basti,34,SC,Uttar Pradesh [1947 - 1999],Shriram Chauhan,Bharatiya Janta Party,"11,81,116","5,93,932",50.30%,"1,832",0.30%,1999
Bayana,10,SC,Rajasthan,Bahadur Singh,Bharatiya Janta Party,"10,92,622","4,98,957",45.70%,"33,332",6.70%,1999
Beed,34,GEN,Maharashtra,Jaysingrao Gaikwad Patil,Bharatiya Janta Party,"11,75,871","8,51,591",72.40%,"51,190",6.00%,1999
Begusarai,33,GEN,Bihar [1947 - 1999],Rajo Singh,Indian National Congress,"11,10,888","6,41,348",57.70%,"19,950",3.10%,1999
Belgaum,25,GEN,Karnataka,Amarsinh Vasantarao Patil,Indian National Congress,"12,30,574","8,24,061",67.00%,"49,898",6.10%,1999
Bellary,5,GEN,Karnataka,Sonia Gandhi,Indian National Congress,"12,13,055","8,47,219",69.80%,"56,100",6.60%,1999
Berhampore,10,GEN,West Bengal,Adhir Ranjan Chowdhury,Indian National Congress,"12,12,554","9,37,646",77.30%,"95,391",10.20%,1999
Berhampur,11,GEN,Orissa,Anadicharan Sahu,Bharatiya Janta Party,"11,59,468","5,80,577",50.10%,"54,123",9.30%,1999
Bettiah,2,GEN,Bihar [1947 - 1999],Dr Madan Prasad Jaiswal,Bharatiya Janta Party,"10,98,637","6,96,181",63.40%,"39,650",5.70%,1999
Betul,28,GEN,Madhya Pradesh [1947 - 1999],"Vijay Kumar Khandelwal "" Munni Bhaiya""",Bharatiya Janta Party,"10,21,086","5,46,338",53.50%,"64,472",11.80%,1999
Bhadrachalam,5,ST,Andhra Pradesh,Dumpa Mary Vijaya Kumari,Telugu Desam,"10,85,536","7,59,883",70.00%,"37,103",4.90%,1999
Bhadrak,3,SC,Orissa,Arjun Charan Sethi,Biju Janata Dal,"11,95,146","6,84,329",57.30%,"1,22,433",17.90%,1999
Bhagalpur,30,GEN,Bihar [1947 - 1999],Subodh Ray,Communist Party Of India (MARXIST),"12,32,833","6,79,321",55.10%,"45,540",6.70%,1999
Bhandara,24,GEN,Maharashtra,Chunnilalbhau Thakur,Bharatiya Janta Party,"9,38,648","6,63,106",70.60%,"3,819",0.60%,1999
Bharatpur,9,GEN,Rajasthan,Vishvendra Singh,Bharatiya Janta Party,"10,60,582","5,77,462",54.50%,"97,018",16.80%,1999
Bhatinda,11,SC,Punjab,Bhan Singh Bhaura,Communist Party Of India,"12,17,731","6,56,684",53.90%,"61,317",9.30%,1999
Bhavnagar,8,GEN,Gujarat,Rana Rajendrasinh Ghanshyamsinh (Rajubhai Rana),Bharatiya Janta Party,"10,23,921","4,45,277",43.50%,"1,01,353",22.80%,1999
Bhilwara,20,GEN,Rajasthan,Vijayendra Pal Singh,Bharatiya Janta Party,"11,36,950","6,07,664",53.50%,"14,229",2.30%,1999
Bhind,2,GEN,Madhya Pradesh [1947 - 1999],Dr. Ramlakhan Singh,Bharatiya Janta Party,"13,05,016","6,67,131",51.10%,"53,574",8.00%,1999
Bhiwani,8,GEN,Haryana,Ajay Singh Chautala,Indian National Lok Dal,"10,53,603","7,40,347",70.30%,"2,03,406",27.50%,1999
Bhopal,30,GEN,Madhya Pradesh [1947 - 1999],Uma Bharti,Bharatiya Janta Party,"15,78,355","9,76,686",61.90%,"1,68,864",17.30%,1999
Bhubaneswar,9,GEN,Orissa,Prasanna Kumar Patasani,Biju Janata Dal,"13,18,560","6,25,351",47.40%,"2,33,961",37.40%,1999
Bidar,1,SC,Karnataka,Ramchandra Veerappa,Bharatiya Janta Party,"12,00,598","7,61,460",63.40%,"1,52,033",20.00%,1999
Bijapur,28,GEN,Karnataka,Basangouda Ramangouda Patil(Yatnal),Bharatiya Janta Party,"11,82,826","7,46,290",63.10%,"36,639",4.90%,1999
Bijnor,5,SC,Uttar Pradesh [1947 - 1999],Sheeshram Singh Ravi,Bharatiya Janta Party,"12,76,433","7,11,282",55.70%,"23,700",3.30%,1999
Bikaner,2,GEN,Rajasthan,Rameshwar Lal Dudi,Indian National Congress,"17,62,589","9,46,682",53.70%,"94,509",10.00%,1999
Bikramganj,39,GEN,Bihar [1947 - 1999],Kanti Singh,Rashtriya Janata Dal,"11,28,738","7,42,514",65.80%,"34,768",4.70%,1999
Bilaspur,15,SC,Madhya Pradesh [1947 - 1999],Punnulal Mohale,Bharatiya Janta Party,"11,07,061","5,34,333",48.30%,"75,333",14.10%,1999
